Jahr;Stadtbezirk;Arbeitslose insgesamt;Arbeitslose Männer;Arbeitslose Frauen;Arbeitslose Deutsche;Arbeitslose Ausländer;Arbeitslose, 55 Jahre und älter;Arbeitslose nach SGBII;Arbeitslose nach SGBIII;Arbeitslose, unter 25 Jahre alt;Arbeitslose, 25 bis unter 35 Jahre alt;Arbeitslose, 35 bis unter 45 Jahre alt;Arbeitslose, 45 bis unter 55 Jahre alt;Arbeitslose, ohne Berufsabschluss;Arbeitslose, mit Berufsabschluss;Arbeitslose, mit akademischen Abschluss;Arbeitslose, ohne Schulabschluss;Arbeitslose, mit Hauptschulabschluss;Arbeitslose, mit mittlerer Reife;Arbeitslose, mit Abitur
2005;Altstadt-Ring;146;96;50;118;28;0;93;53;8;0;0;0;0;0;0;0;0;0;0
2005;Neuburg;131;68;63;94;37;0;83;48;8;0;0;0;0;0;0;0;0;0;0
2005;Herdern-Süd;169;84;85;137;32;0;93;76;9;0;0;0;0;0;0;0;0;0;0
2005;Herdern-Nord;139;70;69;113;26;0;77;62;15;0;0;0;0;0;0;0;0;0;0
2005;Zähringen;312;163;149;259;51;0;196;116;18;0;0;0;0;0;0;0;0;0;0
2005;Brühl-Güterbahnhof;398;213;185;304;93;0;273;125;24;0;0;0;0;0;0;0;0;0;0
2005;Brühl-Industriegebiet;65;40;25;49;15;0;49;16;4;0;0;0;0;0;0;0;0;0;0
2005;Hochdorf;213;107;106;156;56;0;138;75;18;0;0;0;0;0;0;0;0;0;0
2005;Waldsee;156;78;78;127;29;0;102;54;9;0;0;0;0;0;0;0;0;0;0
2005;Littenweiler;266;136;130;199;66;0;183;83;19;0;0;0;0;0;0;0;0;0;0
2005;Ebnet;71;39;32;66;5;0;42;29;5;0;0;0;0;0;0;0;0;0;0
2005;Kappel;69;35;34;57;12;0;38;31;8;0;0;0;0;0;0;0;0;0;0
2005;Oberau;276;164;112;233;43;0;170;106;20;0;0;0;0;0;0;0;0;0;0
2005;Oberwiehre;199;96;103;162;37;0;110;89;8;0;0;0;0;0;0;0;0;0;0
2005;Mittelwiehre;126;67;59;110;15;0;57;69;4;0;0;0;0;0;0;0;0;0;0
2005;Unterwiehre-Nord;184;98;86;151;32;0;107;77;11;0;0;0;0;0;0;0;0;0;0
2005;Unterwiehre-Süd;390;191;199;269;121;0;273;117;18;0;0;0;0;0;0;0;0;0;0
