Jahr,Stadtbezirk,Anzahl Einwohner_innen,Anzahl Einwohner_innen inkl. Nebenwohnsitzen,Anzahl Personen mit persönlichem Migrationshintergrund,Anzahl Personen mit familiärem Migrationshintergrund,Anzahl Personen mit persönlichem Migrationshintergrund - ausländisch,Anzahl Personen mit persönlichem Migrationshintergrund - Einbürgerung,Anzahl Personen mit persönlichem Migrationshintergrund - (Spät)Aussiedler,Anzahl Personen mit familiärem Migrationshintergrund - ausländisch,Anzahl Personen mit familiärem Migrationshintergrund - Einbürgerung,Anzahl Personen mit familiärem Migrationshintergrund - (Spät)Aussiedler,Anzahl Alleinerziehende Haushalte - deutsch,Anzahl Alleinerziehende Haushalte - nicht-deutsch,Anzahl Alleinerziehende Haushalte - kein Migrationshintergrund,Anzahl Alleinerziehende Haushalte - mit Migrationshintergrund
2006,Altstadt-Mitte,3737,4150,934,979,548,240,146,548,283,148,37,4,28,13
2007,Altstadt-Mitte,3662,4081,949,993,580,234,135,580,275,138,40,6,32,14
2008,Altstadt-Mitte,3625,4027,925,961,555,235,135,555,267,139,38,8,31,15
2010,Altstadt-Mitte,3740,4065,1021,1067,606,273,142,606,313,148,43,13,32,24
2011,Altstadt-Mitte,3833,3963,1059,1105,632,287,140,632,328,145,47,14,35,26
2012,Altstadt-Mitte,3864,3957,1096,1139,659,293,144,659,329,151,50,11,39,22
2015,Altstadt-Mitte,4016,4104,1250,1290,918,227,105,918,259,113,36,51,26,61
2017,Altstadt-Mitte,3897,3992,1126,1182,744,274,108,744,319,119,41,15,37,19
2019,Altstadt-Mitte,3861,3938,1105,1150,715,297,93,715,336,99,47,16,41,22
2021,Altstadt-Mitte,3819,3907,1151,1184,722,339,90,722,366,96,44,12,35,21
2009,Altstadt-Ring,3376,3641,849,877,519,233,97,519,254,104,67,7,61,13
2013,Altstadt-Ring,3650,3710,922,962,613,225,84,613,260,89,47,10,44,13
2016,Altstadt-Ring,3671,3721,1022,1072,676,261,85,676,307,89,48,16,45,19
2017,Altstadt-Ring,3650,3712,1009,1063,672,267,70,672,314,77,46,22,41,27
2018,Altstadt-Ring,3673,3727,1018,1080,703,254,61,703,309,68,45,22,40,27
2020,Altstadt-Ring,3683,3738,1071,1119,705,301,65,705,345,69,41,18,38,21
2021,Altstadt-Ring,3680,3733,1055,1102,700,292,63,700,335,67,36,16,34,18
2009,Neuburg,4467,4705,1148,1207,591,345,212,591,391,225,71,14,63,22
2013,Neuburg,4651,4717,1140,1213,643,317,180,643,380,190,58,15,49,24
2016,Neuburg,4698,4774,1274,1362,765,323,186,765,400,197,48,17,41,24
2017,Neuburg,4713,4791,1227,1336,745,312,170,745,410,181,49,15,42,22
2018,Neuburg,4869,4943,1267,1390,764,332,171,764,444,182,60,12,54,18
2020,Neuburg,5090,5174,1396,1506,865,377,154,865,475,166,51,16,46,21
2021,Neuburg,5230,5312,1463,1567,895,404,164,895,496,176,53,12,44,21
2006,Herdern-Süd,5339,5753,1010,1134,479,356,175,479,462,193,118,9,101,26
2008,Herdern-Süd,5351,5717,991,1131,445,377,169,445,493,193,128,8,115,21
2009,Herdern-Süd,5422,5750,987,1123,445,370,172,445,484,194,132,11,113,30
2010,Herdern-Süd,5481,5774,1032,1171,470,395,167,470,511,190,125,14,109,30
2012,Herdern-Süd,5570,5675,1139,1285,517,438,184,517,560,208,162,21,143,40
2016,Herdern-Süd,6008,6125,1226,1395,683,398,145,683,553,159,121,30,102,49
2017,Herdern-Süd,6057,6170,1237,1432,707,385,145,707,564,161,119,34,100,53
2009,Altstadt-Mitte,3660,4020,999,1045,586,270,143,586,313,146,37,9,26,20
2013,Altstadt-Mitte,3834,3931,1031,1066,666,247,118,666,277,123,35,14,28,21
2014,Altstadt-Mitte,3783,3870,1018,1059,672,237,109,672,270,117,38,13,30,21
2016,Altstadt-Mitte,3873,3963,1101,1139,741,245,115,741,275,123,35,15,29,21
2018,Altstadt-Mitte,3867,3949,1103,1156,727,279,97,727,323,106,43,15,39,19
2020,Altstadt-Mitte,3888,3960,1144,1185,731,319,94,731,350,104,45,13,37,21
2006,Altstadt-Ring,3282,3601,767,802,432,227,108,432,250,120,90,5,77,18
2007,Altstadt-Ring,3231,3531,754,797,420,230,104,420,265,112,79,6,69,16
2008,Altstadt-Ring,3270,3550,790,819,455,236,99,455,257,107,71,6,62,15
2010,Altstadt-Ring,3423,3659,899,930,538,256,105,538,279,113,63,6,56,13
2011,Altstadt-Ring,3554,3637,931,962,555,260,116,555,282,125,61,9,55,15
2012,Altstadt-Ring,3685,3739,1002,1050,608,287,107,608,328,114,64,12,56,20
2014,Altstadt-Ring,3701,3753,980,1024,655,248,77,655,288,81,44,15,39,20
2015,Altstadt-Ring,3664,3720,977,1022,637,265,75,637,305,80,45,12,39,18
2019,Altstadt-Ring,3709,3768,1058,1121,718,275,65,718,331,72,39,12,37,14
2006,Neuburg,4112,4433,972,1031,447,319,206,447,368,216,74,12,66,20
2007,Neuburg,4188,4490,1013,1081,483,326,204,483,383,215,69,10,60,19
2008,Neuburg,4447,4722,1137,1186,586,333,218,586,370,230,77,13,66,24
2010,Neuburg,4464,4690,1163,1226,582,364,217,582,414,230,70,13,61,22
2011,Neuburg,4554,4648,1162,1239,587,358,217,587,421,231,61,15,51,25
2012,Neuburg,4582,4645,1205,1286,612,369,224,612,436,238,74,18,62,30
2014,Neuburg,4672,4749,1197,1287,722,303,172,722,380,185,60,13,52,21
2015,Neuburg,4583,4657,1164,1247,685,304,175,685,374,188,46,13,39,20
2019,Neuburg,4900,4980,1305,1432,796,344,165,796,460,176,57,12,54,15
2007,Herdern-Süd,5370,5756,1027,1178,488,361,178,488,490,200,114,11,101,24
2011,Herdern-Süd,5585,5716,1099,1241,494,422,183,494,537,210,124,13,104,33
